Lander und Gebiete,Geschlecht,Wien,Sonstiges Nieder- Oesterreich,Nieder- Oesterreich iiberhampt,Ober- Oesterreich,Salzburg,Ober- Steiermark,Mittel- Steiermark,Unter- Steiermark
,m.,291.183,70.739,361.922,10.01,1.226,1.612,4371,1.976
Wien……….,w.,319.879,84.64,403.519,11.952,1.319,1.896,4.253,1.717
,zus.,610.062,155.379,765.441,21.962,2.545,3.508,8.624,3.693
,m.,26.846,517.241,544.087,8.886,775,1.785,2.487,855
Sonstiges Nieder-Oesterreich .,w.,28.247,533.816,562.063,8.836,517,1.897,2.032,532
,zus.,55.093,1051.057,1106.150,17.722,1.292,3.682,4.519,1.387
,m.,318.029,587.98,906.099,18.896,2.001,3.397,6.858,2.831
Nieder-Oesterreich uberhaupt .,w.,347.126,618.456,965.582,20.788,1.836,3.793,6.285,2.249
,zus.,665.155,"1,206.436","1,871.591",39.684,3.837,"7,190","13,143","5,080"
,m.,2.051,8.877,10.928,345.415,2.610,1.544,752,479
Ober-Oesterreich……,w.,2.372,7.090,9.462,364.478,2.537,1.444,504,171
,zus.,4.423,15.967,20.390,709.793,5.141,2.988,1.256,650
,m.,599,842,1.441,7.815,67.440,470,285,162
Salzburg………,w.,563,644,1.207,7.473,71.228,483,162,61
,zus.,1.162,1.486,2.648,15.288,138.668,953,447,223
,m.,,,,,,,,
Ober-Steiermark……,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Mittel-Steiermark ……,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Steiermark uberbaupt . . . . ,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Karnten . . . . . . . . . .,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Triest und Gebiet . . . . . . ,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Gorz und Gradisea . . . . . ,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Istrien . . . . . . . . . . . ,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Nord-Tirol . . . . . . . . . ,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Sud-Tirol . . . . . . . . . ,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Tuirol uberhaupt,w.,,,,,,,,
,zus.,,,,,,,,
,m.,,,,,,,,
Voralberg . . . . . . ,w.,,,,,,,,
,zus.,,,,,,,,
